PlayerID,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
88,1,14,4,2,2,2,0,2,3,2,2,3,2,1,5,1,4,1,5,10,3,8,2,2,0,10,5,10,7,2,1,2,2,2,2,6,2,0
89,2,1,5,1,7,6,0,1,1,1,3,1,1,2,12,1,1,1,8,3,0,6,1,3,0,2,7,2,2,1,1,1,3,1,1,8,12,2
90,0,6,0,0,0,0,0,0,0,0,1,6,0,1,1,2,1,6,2,1,6,1,2,0,0,1,0,0,2,0,0,0,6,0,0,1,1,1
91,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,-2,7,6,0,2,1,2,1,7,2,6,6,6,2,2,0,7,8,2,9,1,1,2,6,2,2,7,2,15
93,0,1,0,0,1,1,0,1,1,1,6,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,7,2,1,1,3
94,1,1,1,1,2,4,0,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,1,1,1,0,4,1,1,1,1,1
95,2,6,2,2,2,8,0,2,2,2,2,2,2,4,6,1,1,1,12,2,2,12,2,5,0,2,4,2,11,1,2,7,6,2,1,9,16,5
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,3,3,0,0,0,0,0,1,1,1,3,1,2,13,1,9,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,10,1,0,0,10,15,-2,7,5,2
103,7,2,5,2,1,5,0,0,5,2,2,2,2,0,1,1,0,0,0,5,2,1,0,0,0,5,3,0,7,2,5,0,1,17,1,2,3,0
104,15,3,6,11,2,5,0,0,2,2,2,3,1,7,9,1,2,6,8,3,2,3,2,2,0,6,5,0,7,1,5,0,0,14,2,6,11,5
105,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2,7,6,7,-1,1,0,0,1,2,1,8,1,2,1,1,2,3,2,5,1,6,2,2,0,6,8,0,7,8,2,0,1,11,-1,6,2,0
107,5,2,3,3,2,5,0,0,6,2,2,3,5,2,2,2,13,1,11,19,2,3,10,2,0,3,11,0,8,7,5,0,5,2,1,0,0,0
108,2,6,6,5,1,1,0,0,-1,2,1,6,1,2,1,0,0,0,0,1,0,1,2,6,0,6,2,0,9,1,2,0,0,11,0,0,0,1
109,2,8,8,6,1,1,0,0,1,1,1,7,1,0,1,1,5,0,6,1,1,5,2,2,0,13,7,0,7,1,0,0,0,5,0,0,1,0
110,0,0,0,0,0,2,0,9,2,2,1,1,1,1,1,2,2,0,1,0,0,0,1,2,4,1,1,0,0,1,2,1,0,0,1,1,1,0
111,1,3,8,6,2,12,0,0,20,2,2,3,7,7,5,2,2,1,0,0,1,1,7,2,12,1,15,5,5,1,1,1,4,1,1,2,2,9
112,0,4,1,5,1,1,0,0,0,7,1,6,1,1,2,1,6,2,3,0,6,6,2,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0
113,4,6,8,8,1,1,0,0,2,2,1,6,1,5,2,1,9,1,3,7,1,8,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,2,11,2,10,14,0,0,2,2,2,2,2,2,2,9,0,0,1,3,1,0,1,2,0,14,10,0,9,2,2,0,2,12,8,3,6,2
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
120,2,3,3,3,2,7,0,0,2,2,1,2,1,2,2,1,1,0,5,3,2,0,2,2,0,3,3,0,5,2,2,0,2,3,2,5,4,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,5,0,0,0,1,13,1,13,2,5
124,0,1,1,1,1,0,0,0,4,1,1,0,0,5,8,0,2,7,8,6,10,11,2,2,0,13,12,0,14,2,2,0,2,4,5,5,7,1
125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,1,0,0,0,1,1,0,8,1,9,0,2,10,1,7,8,2
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
